update,alpha,constraint_C
0,1.0092,0.112
1,1.0130000000000001,0.058
2,1.016,0.05
3,1.014,0.0
4,1.0414,0.294
5,1.0736,0.342
6,1.0794000000000001,0.078
7,1.0836000000000001,0.062
8,1.0866,0.05
9,1.087,0.024
10,1.0876,0.026
11,1.0908,0.052
12,1.0966,0.078
13,1.096,0.014
14,1.1024,0.084
15,1.1022,0.018
16,1.103,0.028
17,1.1026,0.016
18,1.1038000000000001,0.032
19,1.1048,0.03
20,1.1066,0.038
21,1.1072,0.026
22,1.1086,0.034
23,1.1084,0.018
24,1.1086,0.022
25,1.1096,0.03
26,1.1098,0.022
27,1.1101999999999999,0.024
28,1.1101999999999999,0.02
29,1.1096,0.014
30,1.1136,0.06
31,1.1132,0.016
32,1.1128,0.016
33,1.1126,0.018
34,1.1138000000000001,0.032
35,1.1158000000000001,0.04
36,1.1166,0.028
37,1.1182,0.036
38,1.1186,0.024
39,1.12,0.034
40,1.121,0.03
41,1.1208,0.018
42,1.121,0.022
43,1.1206,0.016
44,1.1232,0.046
45,1.123,0.018
46,1.122,0.01
47,1.1232000000000002,0.032
48,1.1264000000000003,0.052
49,1.1266000000000003,0.022
50,1.1262000000000003,0.016
51,1.1254000000000004,0.012
52,1.1252000000000004,0.018
53,1.1266000000000005,0.034
54,1.1292000000000004,0.046
55,1.1312000000000004,0.04
56,1.1340000000000003,0.048
57,1.1334000000000004,0.014
58,1.1352000000000004,0.038
59,1.1358000000000004,0.026
60,1.1360000000000003,0.022
61,1.1352000000000004,0.012
62,1.1354000000000004,0.022
63,1.1362000000000003,0.028
64,1.1384000000000003,0.042
65,1.1394000000000002,0.03
66,1.1408000000000003,0.034
67,1.1406000000000003,0.018
68,1.1398000000000004,0.012
69,1.1386000000000003,0.008
70,1.1386000000000003,0.02
71,1.1374000000000002,0.008
72,1.1384,0.03
73,1.137,0.006
74,1.1368,0.018
75,1.1386,0.038
76,1.1386,0.02
77,1.1388,0.022
78,1.1388,0.02
79,1.1384,0.016
80,1.1398000000000001,0.034
81,1.1402,0.024
82,1.1418000000000001,0.036
83,1.1442,0.044
84,1.1460000000000001,0.038
85,1.1452000000000002,0.012
86,1.1456000000000002,0.024
87,1.1478000000000002,0.042
88,1.1488,0.03
89,1.1492,0.024
90,1.1494,0.022
91,1.151,0.036
92,1.1528,0.038
93,1.1526,0.018
94,1.1538000000000002,0.032
95,1.1544,0.026
96,1.1564,0.04
97,1.1564,0.02
98,1.1574,0.03
99,1.1574,0.02
100,1.1594,0.04
101,1.1594,0.02
102,1.1612,0.038
103,1.1622,0.03
104,1.1622,0.02
105,1.1623999999999999,0.022
106,1.1642,0.038
107,1.1634,0.012
108,1.165,0.036
109,1.1644,0.014
110,1.1662000000000001,0.038
111,1.1660000000000001,0.018
112,1.1676000000000002,0.036
113,1.1656000000000002,0.0
114,1.1662000000000001,0.026
115,1.1664,0.022
116,1.1674,0.03
